Date,Open,High,Low,Close,Volume
19-Sep-17,48.49,48.50,47.88,48.04,23070671
18-Sep-17,48.88,49.06,48.09,48.33,29434734
15-Sep-17,50.65,50.70,48.48,48.74,66367857
14-Sep-17,52.76,53.14,52.32,52.79,21901610
13-Sep-17,52.52,52.98,52.45,52.80,14463029
12-Sep-17,52.64,52.89,52.47,52.77,13352387
11-Sep-17,51.88,52.61,51.81,52.49,16526301
8-Sep-17,51.80,51.88,51.38,51.58,10356483
7-Sep-17,51.19,51.78,51.03,51.73,11516836
6-Sep-17,51.08,51.22,50.80,51.01,15615580
5-Sep-17,50.53,51.08,50.47,50.93,15610724
1-Sep-17,50.35,50.88,50.35,50.62,8716795
31-Aug-17,49.88,50.52,49.84,50.33,12958147
30-Aug-17,49.50,49.95,49.36,49.80,6957444
29-Aug-17,48.88,49.57,48.75,49.45,7245889
28-Aug-17,49.39,49.39,49.04,49.24,6211310
25-Aug-17,49.44,49.44,49.15,49.24,7853334
24-Aug-17,49.07,49.26,48.88,49.19,7365529
23-Aug-17,49.06,49.43,48.94,49.07,6895425
22-Aug-17,49.12,49.35,48.99,49.26,9233010
21-Aug-17,48.65,48.96,48.54,48.90,7293402
18-Aug-17,48.45,48.88,48.31,48.62,10248442
17-Aug-17,49.17,49.31,48.55,48.55,9661645
16-Aug-17,48.97,49.32,48.76,49.25,9881214
15-Aug-17,48.89,49.06,48.77,48.83,10663484
14-Aug-17,48.48,48.96,48.47,48.85,9229055
11-Aug-17,48.18,48.44,47.98,48.24,11704784
10-Aug-17,48.96,48.96,48.05,48.10,13391115
9-Aug-17,48.98,49.39,48.86,49.06,15872408
8-Aug-17,49.54,49.82,48.97,49.10,14684306
7-Aug-17,50.00,50.09,49.52,49.64,8280295
4-Aug-17,50.18,50.21,49.86,49.96,7025257
3-Aug-17,49.92,50.41,49.72,50.23,9490119
2-Aug-17,50.26,50.31,49.58,49.77,8720683
1-Aug-17,50.15,50.22,49.82,50.16,6066247
28-Jul-17,50.19,50.49,50.04,50.30,8996435
27-Jul-17,51.30,51.36,50.19,50.45,16508795
26-Jul-17,51.15,51.19,51.02,51.17,5724523
25-Jul-17,50.91,51.23,50.79,51.17,10536242
24-Jul-17,50.80,50.90,50.61,50.76,7639116
21-Jul-17,50.87,51.15,50.65,50.80,8791922
20-Jul-17,51.14,51.26,50.84,51.13,8772545
19-Jul-17,50.46,51.10,50.36,51.00,13312763
18-Jul-17,50.34,50.70,50.16,50.45,14105601
17-Jul-17,50.31,50.58,50.24,50.44,8094195
14-Jul-17,50.27,50.65,50.27,50.56,9875932
13-Jul-17,50.55,50.68,50.25,50.35,11959949
12-Jul-17,50.02,50.48,49.96,50.45,14461391
11-Jul-17,49.53,49.89,49.41,49.88,9751082
10-Jul-17,49.27,49.83,49.22,49.62,10098514
7-Jul-17,48.83,49.44,48.83,49.35,10889360
6-Jul-17,49.25,49.42,48.77,48.85,14411942
5-Jul-17,49.80,50.03,49.41,49.46,15775251
3-Jul-17,50.05,50.13,49.32,49.36,10883219
30-Jun-17,50.18,50.52,50.08,50.14,13146430
29-Jun-17,50.76,50.88,49.98,50.20,13929067
28-Jun-17,51.07,51.09,50.81,50.87,15981578
27-Jun-17,50.75,51.45,50.52,50.75,17876401
26-Jun-17,50.99,51.70,50.77,50.86,29453393
23-Jun-17,50.24,51.84,50.07,50.95,42812545
22-Jun-17,51.61,51.85,50.16,50.30,63193897
21-Jun-17,46.15,46.54,46.08,46.33,30757278
20-Jun-17,45.76,46.32,45.60,45.84,15299580
19-Jun-17,45.27,45.75,45.21,45.73,12787720
16-Jun-17,44.75,45.10,44.53,45.09,15930868
15-Jun-17,44.55,44.82,44.37,44.68,10394642
14-Jun-17,45.16,45.28,44.48,44.81,12024581
13-Jun-17,45.07,45.24,44.62,44.98,10705755
12-Jun-17,44.65,44.85,43.74,44.85,16189867
9-Jun-17,45.40,45.67,44.68,45.03,12188360
8-Jun-17,45.73,45.86,45.31,45.42,12889520
7-Jun-17,45.62,45.65,45.14,45.40,7688665
6-Jun-17,45.73,45.84,45.60,45.61,7449507
5-Jun-17,45.69,46.00,45.67,45.92,8617321
2-Jun-17,45.88,46.07,45.48,45.66,11794562
1-Jun-17,45.52,45.80,45.36,45.79,8138901
31-May-17,45.42,45.55,45.26,45.39,14757634
30-May-17,45.11,45.46,45.11,45.42,10769777
26-May-17,45.21,45.44,45.06,45.26,6899725
25-May-17,44.99,45.30,44.83,45.20,7597616
24-May-17,44.65,44.88,44.50,44.83,7712277
23-May-17,44.68,44.84,44.52,44.56,6873723
22-May-17,44.33,44.65,44.28,44.63,9805760
19-May-17,44.21,44.52,44.17,44.31,11519180
18-May-17,44.06,44.41,43.60,44.17,12777557
17-May-17,44.99,45.09,44.20,44.23,18489195
16-May-17,45.36,45.37,45.15,45.29,7944498
15-May-17,45.24,45.36,45.09,45.32,9694029
12-May-17,45.01,45.15,44.92,45.08,7965112
11-May-17,45.41,45.41,44.97,45.16,8996359
10-May-17,45.52,45.56,45.29,45.53,6906121
9-May-17,45.50,45.68,45.38,45.48,6530558
8-May-17,45.48,45.70,45.42,45.56,7559917
5-May-17,45.71,45.78,45.36,45.58,8443421
4-May-17,44.96,45.78,44.95,45.47,15505168
3-May-17,45.05,45.16,44.77,44.89,10695874
2-May-17,45.00,45.35,44.97,45.13,11649568
1-May-17,45.01,45.18,44.87,45.05,9118316
28-Apr-17,44.74,44.96,44.52,44.96,12962658
27-Apr-17,44.88,44.94,44.65,44.77,8221029
26-Apr-17,44.75,45.04,44.64,44.69,10122447
25-Apr-17,44.98,44.98,44.60,44.72,12436821
24-Apr-17,44.97,44.99,44.62,44.84,10848901
21-Apr-17,44.59,44.74,44.40,44.43,11556016
20-Apr-17,44.26,44.63,44.17,44.53,10880924
19-Apr-17,44.44,44.54,44.08,44.19,10711956
18-Apr-17,44.21,44.58,44.14,44.52,10446944
17-Apr-17,44.12,44.36,44.00,44.29,10999992
13-Apr-17,44.19,44.45,43.98,44.00,11838300
12-Apr-17,44.33,44.41,44.03,44.18,8457041
11-Apr-17,43.89,44.45,43.76,44.17,15422353
10-Apr-17,44.21,44.44,43.96,44.00,11668629
7-Apr-17,44.09,44.38,43.99,44.29,13446605
6-Apr-17,44.53,44.53,44.14,44.18,11557755
5-Apr-17,44.74,44.97,44.41,44.49,9445119
4-Apr-17,44.61,44.74,44.38,44.59,9161341
3-Apr-17,44.68,45.05,44.40,44.61,16044276
31-Mar-17,44.50,44.85,44.46,44.61,10652754
30-Mar-17,44.45,44.74,44.37,44.68,7792510
29-Mar-17,44.52,44.73,44.47,44.52,10636243
28-Mar-17,44.83,45.03,44.66,44.69,14008754
27-Mar-17,44.51,44.93,44.36,44.84,8933400
24-Mar-17,44.92,45.09,44.58,44.65,13110178
23-Mar-17,44.68,45.06,44.67,44.95,16190536
22-Mar-17,45.13,45.45,44.63,44.79,14339677
21-Mar-17,45.31,45.40,44.71,44.84,21974454
20-Mar-17,45.67,45.95,45.16,45.23,21452575
17-Mar-17,45.25,45.98,45.11,45.66,31688720
16-Mar-17,46.39,46.99,45.65,45.73,67535437
15-Mar-17,42.90,43.20,42.64,43.05,18393223
14-Mar-17,42.58,42.84,42.40,42.79,10290999
13-Mar-17,42.75,42.78,42.52,42.58,12440837
10-Mar-17,42.62,42.69,42.35,42.68,12244538
9-Mar-17,42.63,42.63,42.25,42.44,10308443
8-Mar-17,42.68,42.79,42.51,42.61,9217090
7-Mar-17,42.58,42.75,42.52,42.60,9492905
6-Mar-17,42.46,42.74,42.30,42.57,9196010
3-Mar-17,42.77,42.88,42.59,42.69,8928505
2-Mar-17,42.83,42.93,42.63,42.89,9431593
1-Mar-17,42.75,43.00,42.69,42.92,11402152
28-Feb-17,42.62,42.74,42.42,42.59,14450263
27-Feb-17,43.26,43.26,42.52,42.70,13876507
24-Feb-17,42.74,43.19,42.68,43.17,11426697
23-Feb-17,42.56,42.99,42.50,42.96,15483953
22-Feb-17,42.26,42.52,42.13,42.51,11602769
21-Feb-17,41.99,42.38,41.93,42.27,12394709
17-Feb-17,41.54,42.06,41.50,42.06,18545336
16-Feb-17,41.46,41.74,41.36,41.59,10132672
15-Feb-17,40.96,41.48,40.89,41.41,9243647
14-Feb-17,40.92,41.17,40.75,41.10,9622961
13-Feb-17,40.89,41.19,40.80,41.09,12779834
10-Feb-17,40.33,40.92,40.21,40.79,13168666
9-Feb-17,40.09,40.45,40.05,40.23,10977185
8-Feb-17,40.06,40.35,40.01,40.02,8883343
7-Feb-17,40.16,40.30,40.04,40.07,8848671
6-Feb-17,40.44,40.44,40.08,40.10,7871322
3-Feb-17,40.07,40.43,39.95,40.43,12941164
2-Feb-17,39.77,40.00,39.68,39.98,10120343
1-Feb-17,40.22,40.22,39.71,39.84,11836961
31-Jan-17,40.21,40.25,39.68,40.11,10766745
30-Jan-17,40.11,40.25,39.81,40.23,10589562
27-Jan-17,40.20,40.39,40.13,40.23,9232665
26-Jan-17,40.21,40.25,39.95,40.13,10556466
25-Jan-17,40.32,40.38,39.95,40.15,13164793
24-Jan-17,39.85,40.20,39.75,40.10,12216458
23-Jan-17,39.76,40.09,39.43,39.68,13251221
20-Jan-17,39.46,40.04,39.45,39.87,25439091
19-Jan-17,39.12,39.38,39.10,39.21,12232380
18-Jan-17,39.28,39.34,39.03,39.19,10394029
17-Jan-17,39.07,39.28,38.88,39.10,11081367
